Identifier,GeositeType,Latitude,Longitude,WaterLevel,DepthToTop,DepthToBottom,LithologyName,MaterialType,HardnessQualifier,distance_km
2528CA00022,Borehole,-25.63395,28.08444,25.68,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.71,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.74,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.76,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.77,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.8,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.81,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.82,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.86,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.87,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.89,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.92,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.96,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.97,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,25.98,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.01,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.03,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.04,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.05,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.06,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.07,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.09,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.1,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.12,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.14,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.15,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.16,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.17,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.18,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.19,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.2,,,,,,13.49522463
2528CA00022,Borehole,-25.63395,28.08444,26.21,,,,,,13.49522463
