DataOwner,Identifier,GeositeType,Latitude,Longitude,WaterLevel,DepthToTop,DepthToBottom,LithologyName,MaterialType,HardnessQualifier,distance_km
Dept Water - Pretoria,2528CA00422,Borehole,-25.73567,28.09338,,0,5.48,SOIL,Unconsolidated,,24.73001808
Dept Water - Pretoria,2528CA00422,Borehole,-25.73567,28.09338,,5.48,14.02,Shale,Consolidated,,24.73001808
Dept Water - Pretoria,2528CA00422,Borehole,-25.73567,28.09338,,14.02,16.15,Norite,Consolidated,,24.73001808
Dept Water - Pretoria,2528CA00422,Borehole,-25.73567,28.09338,,16.15,17.52,Diabase,Consolidated,,24.73001808
Dept Water - Pretoria,2528CA00421,Borehole,-25.73566,28.09337,,0,5.48,SOIL,Unconsolidated,,24.72893289
Dept Water - Pretoria,2528CA00421,Borehole,-25.73566,28.09337,,5.48,21.33,Shale,Consolidated,,24.72893289
Dept Water - Pretoria,2528CA00421,Borehole,-25.73566,28.09337,,21.33,25.75,Norite,Consolidated,,24.72893289
Dept Water - Pretoria,2528CA00421,Borehole,-25.73566,28.09337,,25.75,26.28,Lava,Consolidated,,24.72893289
Dept Water - Pretoria,2528CA00420,Borehole,-25.73565,28.09336,29.26,0,2.43,SOIL,Unconsolidated,,24.72784776
Dept Water - Pretoria,2528CA00420,Borehole,-25.73565,28.09336,29.26,2.43,12.19,Shale,Consolidated,,24.72784776
Dept Water - Pretoria,2528CA00420,Borehole,-25.73565,28.09336,29.26,12.19,14.93,Sandstone,Consolidated,,24.72784776
Dept Water - Pretoria,2528CA00420,Borehole,-25.73565,28.09336,29.26,14.93,24.38,Shale,Consolidated,,24.72784776
Dept Water - Pretoria,2528CA00420,Borehole,-25.73565,28.09336,29.26,24.38,39.62,Diabase,Consolidated,,24.72784776
Dept Water - Pretoria,2528CA00419,Borehole,-25.73563,28.09334,,0,15.24,Norite,Consolidated,,24.72567765
Dept Water - Pretoria,2528CA00417,Borehole,-25.73562,28.09333,,0,27.43,Clay,Unconsolidated,,24.72459268
Dept Water - Pretoria,2528CA00417,Borehole,-25.73562,28.09333,,27.43,91.44,Norite,Consolidated,,24.72459268
Dept Water - Pretoria,2528CA00418,Borehole,-25.73562,28.09333,,0,21.33,Lava,Consolidated,,24.72459268
