GeositeInfo_DataOwner,Identifier,GeositeInfo_GeositeType,Latitude,Longitude,WaterLevel,DepthToTop,DepthToBottom,LithologyName,MaterialType,HardnessQualifier,distance_km
Dept Water - Pretoria,2528CC00742,Borehole,-25.95256,28.03444,10.05,0,0.91,SOIL,Unconsolidated,,49.39057491
Dept Water - Pretoria,2528CC00742,Borehole,-25.95256,28.03444,10.05,0.91,12.19,Granite,Consolidated,,49.39057491
Dept Water - Pretoria,2528CC00742,Borehole,-25.95256,28.03444,10.05,12.19,42.67,Granite,Consolidated,,49.39057491
Dept Water - Pretoria,2528CC00741,Borehole,-25.95255,28.03443,6.09,0,0.91,SOIL,Unconsolidated,,49.38963526
Dept Water - Pretoria,2528CC00741,Borehole,-25.95255,28.03443,6.09,0.91,10.05,Granite,Consolidated,,49.38963526
Dept Water - Pretoria,2528CC00741,Borehole,-25.95255,28.03443,6.09,10.05,32,Granite,Consolidated,,49.38963526
Dept Water - Pretoria,2528CC00743,Borehole,-25.95254,28.03442,9.14,0,28.34,Granite,Consolidated,,49.38869564
Dept Water - Pretoria,2528CC00743,Borehole,-25.95254,28.03442,9.14,28.34,44.8,Granite,Consolidated,,49.38869564
Dept Water - Pretoria,2528CC00744,Borehole,-25.95253,28.03441,6.7,0,3.35,Diabase,Consolidated,,49.38775606
Dept Water - Pretoria,2528CC00744,Borehole,-25.95253,28.03441,6.7,3.35,25.29,Diabase,Consolidated,,49.38775606
Dept Water - Pretoria,2528CC00740,Borehole,-25.95252,28.0344,,0,23.46,Granite,Consolidated,,49.3868165
Dept Water - Pretoria,2528CC00740,Borehole,-25.95252,28.0344,,23.46,57.91,Granite,Consolidated,,49.3868165
Dept Water - Pretoria,2528CC00739,Borehole,-25.95251,28.03439,7.31,0,0.91,SOIL,Unconsolidated,,49.38587698
Dept Water - Pretoria,2528CC00739,Borehole,-25.95251,28.03439,7.31,0.91,6.09,Granite,Consolidated,,49.38587698
Dept Water - Pretoria,2528CC00739,Borehole,-25.95251,28.03439,7.31,6.09,28.04,Granite,Consolidated,,49.38587698
Dept Water - Pretoria,2528CC00676,Borehole,-25.95249,28.03438,20.11,0,41.45,Granite,Consolidated,,49.38383613
Dept Water - Pretoria,2528CC00820,Borehole,-25.94954,28.14502,,0,0.6,SOIL,Unconsolidated,,48.80124839
Dept Water - Pretoria,2528CC00820,Borehole,-25.94954,28.14502,,0.6,1.21,Sandstone,Consolidated,,48.80124839
Dept Water - Pretoria,2528CC00820,Borehole,-25.94954,28.14502,,1.21,5.18,Granite,Consolidated,,48.80124839
Dept Water - Pretoria,2528CC00820,Borehole,-25.94954,28.14502,,5.18,38.4,Granite,Consolidated,,48.80124839
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,0,1.52,SOIL,Unconsolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,1.52,28.95,Granite,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,28.95,51.2,Diabase,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,51.2,62.78,Granite,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,62.78,69.79,Diabase,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,69.79,77.57,Granite,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,77.57,78.33,Diabase,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00819,Borehole,-25.94953,28.14501,2.13,78.33,80.31,Granite,Consolidated,,48.80002426
Dept Water - Pretoria,2528CC00818,Borehole,-25.94952,28.145,9.14,0,0.6,Sand,Unconsolidated,,48.79880015
Dept Water - Pretoria,2528CC00818,Borehole,-25.94952,28.145,9.14,0.6,22.86,Sandstone,Consolidated,,48.79880015
