GeositeInfo_DataOwner,GeositeInfo_Identifier,GeositeInfo_GeositeType,Latitude,Longitude,WaterLevel,DepthToTop,DepthToBottom,LithologyName,MaterialType,Lithology_HardnessQualifier
Dept Water - Pretoria,2528CC00957,Borehole,-25.99922,28.19387,,0,3,SOIL,Unconsolidated,
Dept Water - Pretoria,2528CC00957,Borehole,-25.99922,28.19387,,3,60,Granite,Consolidated,
Dept Water - Pretoria,2528CD00214,Borehole,-25.99728,28.31193,48.14,,,,,
Dept Water - Pretoria,2528CD00215,Borehole,-25.99728,28.31665,49.36,,,,,
Dept Water - Pretoria,2528CD00197,Borehole,-25.997,28.25888,,,,,,
Dept Water - Pretoria,2528CD00198,Borehole,-25.997,28.25889,,,,,,
Dept Water - Pretoria,2528CC00244,Borehole,-25.99561,28.23109,12,,,,,
Dept Water - Pretoria,2528CC00244,Borehole,-25.99561,28.23109,80,,,,,
Dept Water - Pretoria,2528CD00212,Borehole,-25.99533,28.31054,52,,,,,
Dept Water - Pretoria,2528CD00213,Borehole,-25.99533,28.31055,,,,,,
Dept Water - Pretoria,2527DC00094,Borehole,-25.99509,27.53857,30.48,0,2.13,SOIL,Unconsolidated,
Dept Water - Pretoria,2527DC00094,Borehole,-25.99509,27.53857,30.48,2.13,58.21,Dolerite,Consolidated,
Dept Water - Pretoria,2527DC00095,Borehole,-25.99508,27.53305,,0,3.35,Dolerite,Consolidated,
Dept Water - Pretoria,2527DC00095,Borehole,-25.99508,27.53305,,3.35,14.63,Shale,Consolidated,
Dept Water - Pretoria,2527DC00096,Borehole,-25.99507,27.53304,15.24,0,27.43,Shale,Consolidated,
Dept Water - Pretoria,2527DC00096,Borehole,-25.99507,27.53304,15.24,27.43,33.22,Dolerite,Consolidated,
Dept Water - Pretoria,2527DC00096,Borehole,-25.99507,27.53304,15.24,33.22,39.01,Shale,Consolidated,
Dept Water - Pretoria,2527DC00097,Borehole,-25.99506,27.53303,,0,6.09,Dolerite,Consolidated,
Dept Water - Pretoria,2527DC00097,Borehole,-25.99506,27.53303,,6.09,54.86,Shale,Consolidated,
Dept Water - Pretoria,2527DC00099,Borehole,-25.99366,27.54135,2.43,0,121.92,Shale,Consolidated,
Dept Water - Pretoria,2528CD00196,Borehole,-25.99338,28.26193,39,,,,,
Dept Water - Pretoria,2528CC00258,Borehole,-25.99311,28.11721,6.05,,,,,
Dept Water - Pretoria,2528CD00211,Borehole,-25.99311,28.31527,22.8,,,,,
Dept Water - Pretoria,2528CD00210,Borehole,-25.99228,28.30943,,,,,,
Dept Water - Pretoria,2527DD00018,Borehole,-25.98853,27.90067,14.63,0,1.82,Gravel,Unconsolidated,
Dept Water - Pretoria,2527DD00018,Borehole,-25.98853,27.90067,14.63,1.82,18.89,Clay,Unconsolidated,
Dept Water - Pretoria,2527DD00018,Borehole,-25.98853,27.90067,14.63,18.89,24.99,Quartzite,Consolidated,
Dept Water - Pretoria,2527DD00018,Borehole,-25.98853,27.90067,14.63,24.99,33.83,Quartzite,Consolidated,
